,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Found
tessalit,40.0,ML,1566660497.0,25.0,20.2,1.01,310.873,4.1,true
urbana,1.0,US,1566660497.0,56.0,40.11,-88.21,295.15,4.6,true
mollendo,100.0,PE,1566660497.0,82.0,-17.03,-72.02,287.473,2.98,true
saint george,20.0,GR,1566660497.0,28.0,39.45,22.34,307.15,7.2,true
ust-omchug,100.0,RU,1566660497.0,87.0,61.13,149.63,282.873,3.07,true
bereda,20.0,ES,1566660498.0,68.0,43.27,-7.54,302.59,4.1,true
atuona,7.0,PF,1566660498.0,72.0,-9.8,-139.03,298.873,6.62,true
rocha,92.0,UY,1566660446.0,62.0,-34.48,-54.34,286.973,3.88,true
chokurdakh,88.0,RU,1566660498.0,64.0,70.62,147.9,285.773,2.58,true
fairbanks,90.0,US,1566660498.0,100.0,64.84,-147.72,279.26,0.52,true
mikhaylovka,99.0,RU,1566660498.0,91.0,52.96,103.29,283.673,1.93,true
hastings,0.0,NZ,1566660499.0,93.0,-39.64,176.84,277.673,1.58,true
boshnyakovo,100.0,RU,1566660499.0,74.0,49.65,142.17,287.273,0.78,true
te anau,88.0,NZ,1566660499.0,79.0,-45.41,167.72,280.673,4.72,true
sao joao da barra,75.0,BR,1566660499.0,78.0,-21.64,-41.05,295.15,2.44,true
bandarbeyla,100.0,SO,1566660499.0,42.0,9.49,50.81,304.673,9.78,true
gat,75.0,SN,1566660500.0,63.0,14.69,-16.54,306.15,2.1,true
namibe,75.0,AO,1566660500.0,73.0,-15.19,12.15,295.15,5.1,true
cidreira,17.0,BR,1566660500.0,54.0,-30.17,-50.22,290.973,4.16,true
weihe,44.0,CN,1566660500.0,93.0,32.99,105.33,290.573,0.83,true
ponta delgada,75.0,PT,1566660500.0,88.0,37.73,-25.67,296.15,7.2,true
cabo san lucas,40.0,MX,1566660259.0,94.0,22.89,-109.91,302.59,2.6,true
alexandria,26.0,RO,1566660426.0,25.0,43.97,25.33,305.93,1.79,true
tasiilaq,20.0,GL,1566660501.0,61.0,65.61,-37.64,282.15,3.6,true
yumen,92.0,CN,1566660501.0,17.0,40.29,97.04,300.573,9.5,true
mbandaka,67.0,CD,1566660501.0,62.0,0.05,18.26,302.173,2.01,true
souillac,0.0,FR,1566660501.0,24.0,45.6,-0.6,308.71,2.6,true
hilo,90.0,US,1566660501.0,64.0,19.71,-155.08,297.15,2.6,true
new norfolk,75.0,AU,1566660501.0,65.0,-42.78,147.06,280.15,5.1,true
beringovskiy,0.0,RU,1566660502.0,90.0,63.05,179.32,280.273,3.04,true
cody,1.0,US,1566660502.0,55.0,44.53,-109.06,292.59,2.1,true
liberal,40.0,US,1566660502.0,77.0,37.04,-100.92,295.37,2.6,true
tekeli,0.0,KZ,1566660502.0,31.0,44.86,78.76,291.373,3.46,true
sobolevo,0.0,RU,1566660502.0,74.0,54.43,31.9,293.573,3.18,true
okara,30.0,PK,1566660502.0,22.0,30.81,73.45,310.173,2.01,true
najran,40.0,SA,1566660503.0,15.0,17.54,44.22,308.15,4.1,true
carnarvon,0.0,ZA,1566660503.0,12.0,-30.97,22.13,297.273,8.75,true
tuktoyaktuk,75.0,CA,1566660503.0,75.0,69.44,-133.03,275.15,6.7,true
beloha,0.0,MG,1566660503.0,73.0,-25.17,45.06,292.273,6.94,true
bambanglipuro,97.0,ID,1566660503.0,86.0,-7.95,110.28,296.873,5.25,true
kutum,74.0,SD,1566660503.0,38.0,14.2,24.66,302.273,5.53,true
akhisar,0.0,TR,1566660504.0,28.0,38.92,27.84,302.15,6.2,true
shalyhyne,0.0,UA,1566660504.0,61.0,51.58,34.1,295.773,2.68,true
mogwase,0.0,ZA,1566660504.0,11.0,-25.28,27.22,298.073,1.62,true
sartana,0.0,UA,1566660504.0,39.0,47.17,37.7,303.873,5.45,true
manzil salim,75.0,TN,1566660504.0,69.0,35.86,8.48,296.15,6.2,true
agadir,40.0,MA,1566660504.0,26.0,30.42,-9.58,309.15,6.2,true
husavik,100.0,CA,1566660505.0,58.0,50.56,-96.99,295.93,2.68,true
marrakesh,20.0,MA,1566660505.0,13.0,31.63,-7.99,313.15,11.8,true
kemin,2.0,KG,1566660505.0,57.0,42.79,75.7,286.173,4.26,true
henties bay,0.0,NA,1566660505.0,43.0,-22.12,14.28,293.873,8.21,true
portland,40.0,US,1566660254.0,56.0,43.66,-70.25,295.37,4.1,true
norman wells,75.0,CA,1566660505.0,100.0,65.28,-126.83,277.15,2.6,true
tromso,90.0,NO,1566660505.0,70.0,69.65,18.96,283.15,1.5,true
vestmannaeyjar,20.0,IS,1566660505.0,87.0,63.44,-20.27,286.15,8.2,true
luderitz,0.0,NA,1566660506.0,14.0,-26.65,15.16,305.15,4.6,true
kaeo,100.0,NZ,1566660506.0,100.0,-35.1,173.78,283.71,0.45,true
mount gambier,40.0,AU,1566660506.0,100.0,-37.83,140.78,276.15,3.1,true
dingle,100.0,PH,1566660506.0,88.0,11.0,122.67,297.173,2.47,true
mount isa,0.0,AU,1566660506.0,34.0,-20.73,139.49,283.15,4.1,true
tuatapere,73.0,NZ,1566660506.0,83.0,-46.13,167.69,279.82,1.34,true
carutapera,67.0,BR,1566660507.0,66.0,-1.2,-46.02,302.673,4.34,true
tura,99.0,RU,1566660507.0,59.0,64.27,100.22,288.673,1.82,true
tobane,0.0,BW,1566660507.0,44.0,-21.91,28.04,298.15,4.1,true
savannah bight,0.0,HN,1566660507.0,80.0,16.45,-85.85,301.573,7.43,true
lucea,20.0,JM,1566660507.0,74.0,18.44,-78.17,303.15,3.6,true
saint-philippe,90.0,CA,1566660507.0,68.0,45.36,-73.48,293.15,3.1,true
san cristobal,26.0,HN,1566660508.0,61.0,14.68,-86.92,298.773,2.3,true
lubango,0.0,AO,1566660508.0,11.0,-14.92,13.49,297.15,1.0,true
maniitsoq,0.0,GL,1566660508.0,63.0,65.42,-52.9,280.173,1.86,true
semporna,75.0,MY,1566660508.0,94.0,4.48,118.61,299.15,1.26,true
nalut,0.0,LY,1566660508.0,20.0,31.86,10.98,308.073,4.68,true
bellefontaine,20.0,US,1566660489.0,94.0,40.36,-83.76,295.93,4.6,true
clyde river,82.0,CA,1566660509.0,49.0,70.47,-68.59,283.773,1.9,true
ilo,40.0,PE,1566660509.0,68.0,-17.65,-71.34,292.15,2.6,true
marechal candido rondon,0.0,BR,1566660509.0,37.0,-24.56,-54.06,297.973,2.77,true
atar,25.0,MR,1566660509.0,26.0,20.52,-13.05,311.873,6.9,true
aykhal,75.0,RU,1566660509.0,71.0,65.95,111.51,285.15,2.0,true
lang son,13.0,VN,1566660235.0,90.0,21.83,106.73,297.473,0.8,true
evinayong,100.0,GQ,1566660509.0,97.0,1.44,10.55,292.473,1.54,true
huanan,13.0,CN,1566660510.0,93.0,46.24,130.56,286.173,0.65,true
matara,36.0,BI,1566660510.0,39.0,-3.48,29.48,292.173,1.94,true
hamilton,20.0,CA,1566660296.0,63.0,43.26,-79.87,294.82,4.6,true
djibo,59.0,BF,1566660510.0,45.0,14.1,-1.63,305.673,3.58,true
conde,87.0,BR,1566660510.0,58.0,-11.81,-37.61,301.073,2.95,true
ahuimanu,40.0,US,1566660511.0,83.0,21.44,-157.84,300.15,1.5,true
zhezkazgan,0.0,KZ,1566660511.0,22.0,47.8,67.71,297.15,2.0,true
shingu,100.0,JP,1566660511.0,98.0,33.72,135.99,291.573,0.74,true
taltal,0.0,CL,1566660511.0,64.0,-25.41,-70.49,288.873,2.35,true
raudeberg,100.0,NO,1566660511.0,82.0,61.99,5.14,293.15,8.2,true
nome,75.0,US,1566660512.0,78.0,30.04,-94.42,302.04,2.6,true
khandagayty,56.0,MN,1566660512.0,82.0,50.73,92.07,277.073,0.88,true
ode,97.0,NG,1566660512.0,87.0,8.45,4.32,296.673,2.85,true
omboue,80.0,GA,1566660512.0,86.0,-1.57,9.26,297.573,4.91,true
geraldton,40.0,CA,1566660512.0,55.0,49.72,-86.95,290.15,5.7,true
owerri,100.0,NG,1566660472.0,81.0,5.49,7.03,298.973,3.76,true
tiksi,100.0,RU,1566660513.0,98.0,71.64,128.87,282.273,0.66,true
vila do maio,40.0,CV,1566660513.0,58.0,15.13,-23.22,304.15,7.2,true
yarim,83.0,YE,1566660513.0,63.0,14.3,44.38,293.673,0.94,true
bakchar,28.0,RU,1566660513.0,97.0,57.02,82.07,288.073,2.23,true
kruisfontein,0.0,ZA,1566660513.0,43.0,-34.0,24.73,294.273,3.63,true
tuy hoa,76.0,VN,1566660514.0,81.0,13.08,109.3,298.173,1.96,true
kavaratti,100.0,IN,1566660514.0,81.0,10.57,72.64,300.973,8.16,true
tilichiki,92.0,RU,1566660514.0,96.0,60.47,166.1,283.573,1.25,true
brae,100.0,GB,1566660514.0,77.0,60.4,-1.35,291.15,6.7,true
palana,99.0,RU,1566660514.0,88.0,59.08,159.95,283.773,4.94,true
port elizabeth,1.0,US,1566660514.0,53.0,39.31,-74.98,297.59,6.2,true
moree,0.0,AU,1566660514.0,47.0,-29.46,149.84,286.15,4.1,true
ostrovnoy,100.0,RU,1566660515.0,84.0,68.05,39.51,280.773,5.62,true
axim,100.0,GH,1566660515.0,85.0,4.87,-2.24,298.273,5.84,true
pella,20.0,GR,1566660515.0,32.0,40.76,22.53,307.15,4.6,true
bashtanka,0.0,UA,1566660515.0,26.0,47.4,32.45,306.15,5.0,true
aklavik,75.0,CA,1566660515.0,80.0,68.22,-135.01,277.15,2.1,true
obihiro,0.0,JP,1566660516.0,85.0,42.92,143.2,288.173,4.77,true
isla mujeres,75.0,MX,1566660516.0,74.0,21.23,-86.73,303.15,2.1,true
adrar,0.0,DZ,1566660516.0,8.0,27.87,-0.29,318.15,5.1,true
kenai,75.0,US,1566660381.0,87.0,60.55,-151.26,284.26,3.01,true
saldanha,91.0,PT,1566660516.0,18.0,41.42,-6.55,307.673,3.66,true
college,90.0,US,1566660516.0,100.0,64.86,-147.8,279.26,0.52,true
selma,1.0,US,1566660264.0,94.0,32.41,-87.02,303.15,0.96,true
kloulklubed,90.0,PW,1566660516.0,88.0,7.04,134.26,299.15,3.6,true
fort nelson,75.0,CA,1566660517.0,93.0,58.81,-122.69,280.15,0.3,true
champerico,40.0,MX,1566660517.0,74.0,16.38,-93.6,300.15,1.0,true
barkhan,88.0,PK,1566660517.0,26.0,29.9,69.52,303.873,5.6,true
hervey bay,0.0,AU,1566660517.0,93.0,-25.3,152.85,286.48,2.6,true
severo-kurilsk,100.0,RU,1566660517.0,90.0,50.68,156.12,282.073,9.63,true
naqadeh,0.0,IR,1566660517.0,25.0,36.96,45.39,297.373,7.13,true
lavrentiya,77.0,RU,1566660518.0,88.0,65.58,-170.99,277.873,1.93,true
ponta do sol,0.0,BR,1566660518.0,30.0,-20.63,-46.0,297.773,1.64,true
caravelas,100.0,BR,1566660518.0,67.0,-17.73,-39.27,297.273,2.3,true
nanortalik,100.0,GL,1566660518.0,65.0,60.14,-45.24,280.973,4.66,true
fortuna,90.0,US,1566660518.0,100.0,40.6,-124.16,287.04,2.1,true
luganville,100.0,VU,1566660518.0,87.0,-15.51,167.18,292.173,1.44,true
pitimbu,75.0,BR,1566660519.0,74.0,-7.47,-34.81,301.15,6.7,true
takapau,100.0,NZ,1566660519.0,80.0,-40.02,176.35,281.48,4.92,true
kabalo,12.0,CD,1566660519.0,17.0,-6.05,26.92,308.773,2.21,true
sarkand,0.0,KZ,1566660519.0,29.0,45.41,79.91,291.573,3.15,true
provideniya,0.0,RU,1566660519.0,79.0,64.42,-173.23,280.373,1.21,true
vega de alatorre,2.0,MX,1566660519.0,57.0,20.03,-96.65,302.673,0.83,true
kerema,96.0,PG,1566660520.0,83.0,-7.96,145.78,297.673,6.85,true
jacareacanga,42.0,BR,1566660520.0,33.0,-6.22,-57.76,308.673,2.39,true
cairo,0.0,EG,1566660436.0,32.0,30.05,31.24,308.15,3.6,true
codrington,0.0,AU,1566660520.0,93.0,-28.95,153.24,286.15,2.6,true
sidi ali,0.0,DZ,1566660520.0,83.0,36.1,0.42,297.873,10.26,true
kabompo,99.0,ZM,1566660521.0,15.0,-13.6,24.21,301.173,2.59,true
steinbach,100.0,CA,1566660521.0,67.0,49.53,-96.69,297.04,9.39,true
upington,0.0,ZA,1566660521.0,9.0,-28.46,21.24,303.15,4.1,true
kaohsiung,90.0,TW,1566660442.0,100.0,22.62,120.31,298.71,11.8,true
dutse,41.0,NG,1566660521.0,57.0,11.76,9.34,302.673,2.75,true
santa rosa,44.0,AR,1566660521.0,52.0,-36.62,-64.29,290.473,4.87,true
grand-santi,0.0,GF,1566660521.0,81.0,4.27,-54.38,300.773,1.2,true
honningsvag,96.0,NO,1566660522.0,68.0,70.98,25.97,279.473,3.59,true
magdug,79.0,PH,1566660522.0,81.0,6.55,126.1,300.773,5.1,true
kodiak,75.0,US,1566660522.0,73.0,39.95,-94.76,295.37,5.1,true
san patricio,0.0,PY,1566660522.0,54.0,-26.98,-56.83,294.973,2.27,true
lazaro cardenas,90.0,MX,1566660522.0,73.0,28.39,-105.62,295.15,2.6,true
ixtapa,75.0,MX,1566660522.0,78.0,20.71,-105.21,302.04,1.5,true
semnan,0.0,IR,1566660523.0,11.0,35.58,53.39,309.15,0.4,true
alice springs,0.0,AU,1566660523.0,19.0,-23.7,133.88,282.15,2.6,true
marawi,100.0,PH,1566660266.0,85.0,8.0,124.29,298.71,0.45,true
yarmouth,20.0,CA,1566660523.0,56.0,43.84,-66.12,295.15,7.7,true
opuwo,0.0,NA,1566660523.0,5.0,-18.06,13.84,303.673,5.05,true
ambon,0.0,FR,1566660523.0,42.0,47.55,-2.56,303.15,4.1,true
marapanim,85.0,BR,1566660524.0,83.0,-0.71,-47.7,299.973,8.4,true
valley station,1.0,US,1566660524.0,74.0,33.35,-86.77,304.26,1.64,true
kavieng,94.0,PG,1566660524.0,76.0,-2.57,150.8,301.373,4.66,true
kovdor,50.0,RU,1566660524.0,74.0,67.56,30.47,285.273,4.54,true
hammerfest,75.0,NO,1566660524.0,70.0,70.66,23.68,280.15,5.1,true
mahmudabad,90.0,IN,1566660524.0,94.0,27.3,81.13,300.15,1.0,true
taoudenni,10.0,ML,1566660524.0,19.0,22.68,-3.98,315.073,7.08,true
newark,20.0,US,1566660304.0,46.0,40.74,-74.17,297.15,5.1,true
were ilu,25.0,ET,1566660525.0,78.0,10.6,39.43,293.073,0.5,true
maltahohe,0.0,NA,1566660525.0,9.0,-24.83,16.98,298.873,3.33,true
reconquista,100.0,AR,1566660525.0,46.0,-29.14,-59.64,293.173,4.45,true
sale,96.0,AU,1566660525.0,87.0,-38.11,147.06,282.04,4.09,true
port hedland,0.0,AU,1566660526.0,88.0,-20.31,118.58,290.15,4.6,true
samarai,77.0,PG,1566660526.0,89.0,-10.62,150.67,293.273,1.95,true
havoysund,75.0,NO,1566660526.0,70.0,71.0,24.66,280.15,5.1,true
suar,100.0,IN,1566660526.0,87.0,29.03,79.05,299.973,3.15,true
balkanabat,0.0,TM,1566660526.0,9.0,39.51,54.36,308.573,5.02,true
rawson,100.0,AR,1566660526.0,44.0,-43.3,-65.11,287.873,3.28,true
thompson,75.0,CA,1566660527.0,93.0,55.74,-97.86,289.15,3.1,true
owando,73.0,CG,1566660527.0,68.0,-0.49,15.91,301.073,2.19,true
ekhabi,100.0,RU,1566660527.0,91.0,53.51,142.97,282.773,3.01,true
turukhansk,100.0,RU,1566660527.0,66.0,65.8,87.96,288.373,3.96,true
anadyr,75.0,RU,1566660527.0,81.0,64.73,177.51,284.15,3.0,true
ulaangom,90.0,MN,1566660527.0,39.0,49.98,92.07,286.273,1.74,true
wagrowiec,0.0,PL,1566660527.0,32.0,52.81,17.2,302.59,5.1,true
grindavik,20.0,IS,1566660528.0,76.0,63.84,-22.43,286.15,3.6,true
penha,75.0,BR,1566660528.0,59.0,-26.78,-48.65,293.71,4.1,true
punuare,51.0,HN,1566660528.0,66.0,14.75,-85.99,298.373,1.15,true
olga,1.0,US,1566660528.0,73.0,34.11,-118.17,296.48,1.49,true
kosonsoy,1.0,UZ,1566660528.0,41.0,41.25,71.55,299.15,1.0,true
lompoc,1.0,US,1566660528.0,82.0,34.64,-120.46,293.15,1.64,true
guerrero negro,0.0,MX,1566660529.0,75.0,27.97,-114.04,294.273,3.01,true
tutoia,20.0,BR,1566660529.0,62.0,-2.76,-42.27,304.15,7.2,true
kingisepp,16.0,RU,1566660529.0,70.0,59.38,28.61,290.273,4.37,true
damghan,0.0,IR,1566660529.0,38.0,36.17,54.34,291.173,1.84,true
nelson bay,0.0,AU,1566660529.0,81.0,-32.72,152.14,288.71,2.1,true
panaba,24.0,MX,1566660529.0,61.0,21.28,-88.27,303.373,1.74,true
dalvik,37.0,SE,1566660529.0,64.0,57.79,14.13,297.59,1.5,true
pacifica,90.0,US,1566660511.0,100.0,37.61,-122.49,291.48,2.6,true
sitka,56.0,US,1566660530.0,85.0,37.17,-99.65,295.37,4.92,true
lere,94.0,TD,1566660530.0,71.0,9.66,14.23,300.173,3.02,true
ishigaki,100.0,JP,1566660530.0,81.0,24.34,124.16,302.273,14.47,true
ajdabiya,0.0,LY,1566660530.0,77.0,30.75,20.22,300.073,10.97,true
marsa matruh,0.0,EG,1566660530.0,74.0,31.35,27.25,302.15,5.1,true
cavalcante,100.0,BR,1566660530.0,34.0,-13.79,-47.46,297.573,2.24,true
vila velha,20.0,BR,1566660531.0,45.0,-3.71,-38.6,304.15,9.8,true
praia da vitoria,20.0,PT,1566660531.0,69.0,38.73,-27.07,297.15,5.82,true
ballina,75.0,IE,1566660531.0,88.0,54.11,-9.15,293.15,1.0,true
pimentel,58.0,BR,1566660531.0,40.0,-3.7,-45.5,306.773,2.3,true
umm kaddadah,34.0,SD,1566660317.0,38.0,13.6,26.69,304.573,3.62,true
ketchikan,90.0,US,1566660531.0,100.0,55.34,-131.65,286.15,7.7,true
sheksna,75.0,RU,1566660531.0,77.0,59.21,38.5,290.15,5.0,true
jerome,1.0,US,1566660532.0,38.0,34.75,-112.11,298.15,1.06,true
ukiah,1.0,US,1566660532.0,72.0,39.15,-123.21,293.71,1.5,true
predivinsk,100.0,RU,1566660532.0,97.0,57.07,93.44,286.273,3.93,true
jalu,0.0,LY,1566660532.0,15.0,29.03,21.55,310.573,2.09,true
newport,1.0,US,1566660532.0,53.0,41.49,-71.31,296.48,4.1,true
hattiesburg,1.0,US,1566660377.0,74.0,31.33,-89.29,303.15,1.5,true
khatanga,98.0,RU,1566660533.0,85.0,71.98,102.47,286.373,3.28,true
yulara,0.0,AU,1566660533.0,35.0,-25.24,130.99,286.15,3.6,true
myitkyina,0.0,MM,1566660533.0,77.0,25.38,97.4,297.673,1.47,true
troitsko-pechorsk,98.0,RU,1566660533.0,80.0,62.71,56.19,285.273,1.27,true
ostersund,0.0,SE,1566660533.0,59.0,63.18,14.64,291.48,3.1,true
flinders,0.0,AU,1566660534.0,46.0,-34.58,150.85,289.26,1.0,true
nouadhibou,32.0,MR,1566660534.0,73.0,20.93,-17.03,298.15,5.1,true
mangai,95.0,CD,1566660534.0,18.0,-4.07,19.59,308.773,0.59,true
muzhi,100.0,RU,1566660534.0,75.0,65.4,64.7,284.873,4.72,true
merrill,1.0,US,1566660534.0,67.0,42.03,-121.6,289.82,1.0,true
gravdal,0.0,NO,1566660534.0,68.0,59.79,5.78,293.71,8.2,true
qaqortoq,75.0,GL,1566660535.0,48.0,60.72,-46.03,283.15,1.5,true
kaitangata,57.0,NZ,1566660535.0,68.0,-46.28,169.85,279.82,0.89,true
garelochhead,100.0,GB,1566660535.0,50.0,56.08,-4.83,298.15,3.6,true
sahuaripa,100.0,MX,1566660535.0,88.0,29.05,-109.23,294.373,0.78,true
zaysan,0.0,KZ,1566660535.0,51.0,47.47,84.87,286.673,2.63,true
tautira,0.0,PF,1566660536.0,83.0,-17.73,-149.15,295.15,1.5,true
mbini,40.0,GQ,1566660536.0,74.0,1.58,9.62,301.15,4.1,true
